GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
agence-voyages,fr.eftl.egence.voyages.prix,CalculPrixUnitaire,28,0,0,0,13,0,7,0,7,0
agence-voyages,fr.eftl.egence.voyages.prix,CalculPrixBillet,19,56,1,5,8,12,6,7,5,3
